model,seed,alpha,shield,kappa,v_scale,mean_drift,baseline_nll,n_prompts,elapsed_s,bank_col_sum_p99,bank_col_sum_p50,bank_col_sum_mean,attn_entropy_bank_mean,attn_entropy_native_mean,m_perp_energy_ratio_mean,residual_norm_p50,residual_norm_p99
Qwen/Qwen2.5-0.5B,0,4.0,True,4.0,True,2.829637551307678,3.1918787558873496,30,23.4,686.4393469238283,13.386281967163086,58.69916915893555,1.7344632148742676,2.601428270339966,0.0,14.86477518081665,99.88050384521499
Qwen/Qwen2.5-0.5B,0,8.0,False,1.0,False,12.170316259066263,3.1918787558873496,30,24.43,573.9471978759768,10.899827480316162,55.02471923828125,1.6457717418670654,3.6327922344207764,0.0,186.03699493408203,298.48843231201175
Qwen/Qwen2.5-0.5B,0,8.0,True,1.0,False,3.3853782574335733,3.1918787558873496,30,24.95,696.057028808594,12.229884624481201,58.16476058959961,1.697968602180481,2.645613670349121,0.0,15.20057487487793,95.73180885314953
Qwen/Qwen2.5-0.5B,0,8.0,True,2.0,False,5.5386035998662315,3.1918787558873496,30,24.95,753.8397576904302,10.656564235687256,59.78788375854492,1.6153367757797241,2.6198058128356934,0.0,16.67128562927246,88.1340526580811
Qwen/Qwen2.5-0.5B,0,8.0,True,4.0,False,7.501848769187927,3.1918787558873496,30,24.78,756.4583300781263,10.794710159301758,62.30397033691406,1.574794054031372,2.6392650604248047,0.0,20.856572151184082,85.51651191711437
Qwen/Qwen2.5-0.5B,0,8.0,False,1.0,True,10.616267720858255,3.1918787558873496,30,24.65,682.301154174805,10.246588230133057,61.44308853149414,1.5933492183685303,3.3357462882995605,0.0,87.2736930847168,149.24012374877933
Qwen/Qwen2.5-0.5B,0,8.0,True,1.0,True,2.565527828534444,3.1918787558873496,30,24.86,657.4441735839847,13.919793605804443,58.397586822509766,1.7561919689178467,2.575234889984131,0.0,15.092396259307861,100.21400489807141
Qwen/Qwen2.5-0.5B,0,8.0,True,2.0,True,3.1148390054702757,3.1918787558873496,30,24.69,700.7173974609382,12.75576400756836,58.549560546875,1.71321439743042,2.6322648525238037,0.0,14.921218872070312,97.1326431274415
Qwen/Qwen2.5-0.5B,0,8.0,True,4.0,True,4.827522428830465,3.1918787558873496,30,24.82,727.4649804687525,11.304364681243896,59.192359924316406,1.6457113027572632,2.6317601203918457,0.0,15.512715339660645,89.04786682128909
Qwen/Qwen2.5-0.5B,0,16.0,False,1.0,False,13.308465488751729,3.1918787558873496,30,24.55,538.4981866455079,10.347383499145508,51.08114242553711,1.670783519744873,3.7010130882263184,0.0,362.84217834472656,584.3776550292971
