model,arm,alpha,mean_drift,std_drift,n
gpt2-medium,A2,2.0,0.0542898972829183,0.03898235957387094,90
gpt2-medium,A2,4.0,0.06974005699157715,0.0461006106169298,90
gpt2-medium,A2,8.0,0.08779092629750569,0.04613264182449113,90
gpt2-medium,A2,16.0,0.1726614713668823,0.05445703129469279,90
gpt2-medium,A2,32.0,0.5659509817759196,0.09848982654462846,90
gpt2-medium,A3,0.5,0.041344801584879555,0.03420397350761844,90
gpt2-medium,A3,1.0,0.043695966402689614,0.03834275042849089,90
gpt2-medium,A3,2.0,0.0542898972829183,0.03898235957387094,90
gpt2-medium,A3,4.0,0.06974005699157715,0.0461006106169298,90
gpt2-medium,A3,8.0,0.08779092629750569,0.04613264182449113,90
gpt2-medium,A3,16.0,0.1726614713668823,0.05445703129469279,90
gpt2-medium,A3,32.0,0.5659509817759196,0.09848982654462846,90
gpt2-medium,A4,0.5,0.041762375831604005,0.03234430669043658,90
gpt2-medium,A4,1.0,0.043119589487711586,0.034171121010599124,90
gpt2-medium,A4,2.0,0.050646646817525225,0.0392242300409252,90
gpt2-medium,A4,4.0,0.06171170075734456,0.041234513014391516,90
gpt2-medium,A4,8.0,0.0773040215174357,0.04045448856789857,90
gpt2-medium,A4,16.0,0.14462680021921795,0.04902163288861212,90
gpt2-medium,A4,32.0,0.5980010350545247,0.10689192202150177,90
